tv_name,weekday,timeslot,number_of_tickets,Date
Luminor Arc 65,Wednesday,12-16,236,2003-08-20
Luminor Arc 65,Sunday,16-20,0,2003-08-17
Luminor Arc 65,Monday,8-12,241,2003-08-11
Luminor Arc 65,Monday,12-16,230,2003-08-04
Luminor Arc 65,Wednesday,8-12,287,2003-07-30
Luminor Arc 65,Friday,12-16,241,2003-07-25
Luminor Arc 65,Thursday,0-8,0,2003-07-24
StellarWave A9,Saturday,8-12,236,2003-07-19
StellarWave A9,Monday,16-20,195,2003-07-14
StellarWave A9,Tuesday,8-12,2,2003-07-08
Luminor Arc 65,Sunday,16-20,1,2003-07-06
StellarWave A9,Tuesday,8-12,0,2003-07-01
StellarWave A9,Wednesday,0-8,1,2003-06-25
StellarWave A9,Monday,20-24,260,2003-06-23
Luminor Arc 65,Thursday,8-12,285,2003-06-19
Luminor Arc 65,Wednesday,8-12,239,2003-06-18
StellarWave A9,Wednesday,20-24,267,2003-06-11
StellarWave A9,Sunday,12-16,84,2003-06-08
Luminor Arc 65,Thursday,8-12,272,2003-06-05
Luminor Arc 65,Wednesday,12-16,226,2003-06-04
StellarWave A9,Tuesday,8-12,0,2003-06-03
Luminor Arc 65,Monday,8-12,270,2003-06-02
Luminor Arc 65,Thursday,16-20,1,2003-05-29
StellarWave A9,Saturday,16-20,0,2003-05-24
StellarWave A9,Friday,16-20,227,2003-05-23
Luminor Arc 65,Tuesday,12-16,240,2003-05-20
Luminor Arc 65,Tuesday,12-16,256,2003-05-13
Luminor Arc 65,Tuesday,8-12,280,2003-05-06
Luminor Arc 65,Thursday,0-8,0,2003-05-01
StellarWave A9,Thursday,0-8,0,2003-04-24
Luminor Arc 65,Tuesday,0-8,0,2003-04-22
Luminor Arc 65,Monday,12-16,223,2003-04-21
Luminor Arc 65,Saturday,16-20,0,2003-04-19
Luminor Arc 65,Thursday,8-12,282,2003-04-17
StellarWave A9,Sunday,8-12,230,2003-04-13
StellarWave A9,Saturday,0-8,253,2003-04-12
Luminor Arc 65,Friday,16-20,3,2003-04-11
StellarWave A9,Tuesday,0-8,0,2003-04-08
StellarWave A9,Tuesday,12-16,67,2003-04-01
StellarWave A9,Wednesday,8-12,1,2003-03-26
Luminor Arc 65,Saturday,8-12,0,2003-03-22
StellarWave A9,Monday,20-24,244,2003-03-17
StellarWave A9,Monday,20-24,222,2003-03-10
Luminor Arc 65,Wednesday,20-24,1,2003-03-05
Luminor Arc 65,Friday,8-12,314,2003-02-28
Luminor Arc 65,Sunday,8-12,5,2003-02-23
Luminor Arc 65,Saturday,12-16,3,2003-02-22
Luminor Arc 65,Wednesday,0-8,0,2003-02-19
Luminor Arc 65,Wednesday,0-8,1,2003-02-12
StellarWave A9,Wednesday,16-20,205,2003-02-05
Luminor Arc 65,Wednesday,0-8,2,2003-01-29
Luminor Arc 65,Wednesday,0-8,2,2003-01-22
Luminor Arc 65,Wednesday,12-16,238,2003-01-15
StellarWave A9,Saturday,12-16,77,2003-01-11
StellarWave A9,Monday,0-8,0,2003-01-06
StellarWave A9,Saturday,8-12,228,2003-01-04
Luminor Arc 65,Friday,0-8,5,2003-01-03
Luminor Arc 65,Monday,8-12,244,2002-12-30
Luminor Arc 65,Tuesday,20-24,0,2002-12-24
Luminor Arc 65,Saturday,12-16,1,2002-12-21
Luminor Arc 65,Tuesday,8-12,263,2002-12-17
StellarWave A9,Friday,12-16,92,2002-12-13
StellarWave A9,Tuesday,8-12,0,2002-12-10
StellarWave A9,Tuesday,0-8,0,2002-12-03
StellarWave A9,Tuesday,12-16,79,2002-11-26
Luminor Arc 65,Friday,8-12,289,2002-11-22
StellarWave A9,Saturday,8-12,242,2002-11-16
Luminor Arc 65,Wednesday,12-16,236,2002-11-13
Luminor Arc 65,Friday,8-12,290,2002-11-08
StellarWave A9,Sunday,0-8,257,2002-11-03
Luminor Arc 65,Wednesday,16-20,1,2002-10-30
StellarWave A9,Saturday,16-20,2,2002-10-26
Luminor Arc 65,Friday,16-20,0,2002-10-25
Luminor Arc 65,Tuesday,20-24,3,2002-10-22
StellarWave A9,Monday,8-12,0,2002-10-21
Luminor Arc 65,Wednesday,20-24,0,2002-10-16
StellarWave A9,Thursday,8-12,0,2002-10-10
Luminor Arc 65,Tuesday,16-20,0,2002-10-08
Luminor Arc 65,Tuesday,8-12,265,2002-10-01
Luminor Arc 65,Wednesday,0-8,3,2002-09-25
Luminor Arc 65,Sunday,12-16,0,2002-09-22
StellarWave A9,Thursday,20-24,269,2002-09-19
Luminor Arc 65,Thursday,20-24,1,2002-09-12
Luminor Arc 65,Thursday,0-8,3,2002-09-05
Luminor Arc 65,Saturday,20-24,1,2002-08-31
Luminor Arc 65,Friday,16-20,0,2002-08-30
Luminor Arc 65,Friday,16-20,2,2002-08-23
StellarWave A9,Thursday,12-16,93,2002-08-22
Luminor Arc 65,Sunday,0-8,9,2002-08-18
Luminor Arc 65,Sunday,8-12,1,2002-08-11
StellarWave A9,Sunday,8-12,238,2002-08-04
Luminor Arc 65,Wednesday,12-16,275,2002-07-31
StellarWave A9,Saturday,20-24,0,2002-07-27
Luminor Arc 65,Tuesday,20-24,0,2002-07-23
Luminor Arc 65,Friday,16-20,1,2002-07-19
Luminor Arc 65,Friday,16-20,1,2002-07-12
Luminor Arc 65,Sunday,0-8,1,2002-07-07
Luminor Arc 65,Sunday,0-8,3,2002-06-30
StellarWave A9,Sunday,16-20,0,2002-06-23
Luminor Arc 65,Wednesday,20-24,1,2002-06-19
StellarWave A9,Thursday,12-16,77,2002-06-13
Luminor Arc 65,Monday,16-20,0,2002-06-10
StellarWave A9,Sunday,16-20,0,2002-06-09
StellarWave A9,Sunday,12-16,62,2002-06-02
StellarWave A9,Friday,8-12,13,2002-05-31
StellarWave A9,Tuesday,8-12,2,2002-05-28
StellarWave A9,Friday,12-16,96,2002-05-24
Luminor Arc 65,Wednesday,20-24,4,2002-05-22
StellarWave A9,Wednesday,0-8,0,2002-05-15
Luminor Arc 65,Saturday,0-8,6,2002-05-11
Luminor Arc 65,Wednesday,8-12,285,2002-05-08
StellarWave A9,Monday,20-24,243,2002-05-06
Luminor Arc 65,Thursday,8-12,289,2002-05-02
Luminor Arc 65,Monday,20-24,1,2002-04-29
Luminor Arc 65,Thursday,20-24,0,2002-04-25
Luminor Arc 65,Sunday,20-24,1,2002-04-21
StellarWave A9,Monday,8-12,0,2002-04-15
StellarWave A9,Friday,12-16,87,2002-04-12
Luminor Arc 65,Wednesday,12-16,250,2002-04-10
Luminor Arc 65,Thursday,0-8,1,2002-04-04
StellarWave A9,Thursday,8-12,0,2002-03-28
StellarWave A9,Sunday,20-24,1,2002-03-24
Luminor Arc 65,Wednesday,8-12,259,2002-03-20
StellarWave A9,Monday,8-12,0,2002-03-18
Luminor Arc 65,Thursday,20-24,1,2002-03-14
Luminor Arc 65,Sunday,20-24,2,2002-03-10
StellarWave A9,Saturday,12-16,80,2002-03-09
Luminor Arc 65,Friday,20-24,0,2002-03-08
StellarWave A9,Thursday,16-20,213,2002-03-07
Luminor Arc 65,Sunday,0-8,1,2002-03-03
StellarWave A9,Tuesday,16-20,198,2002-02-26
StellarWave A9,Friday,16-20,221,2002-02-22
Luminor Arc 65,Wednesday,8-12,271,2002-02-20
StellarWave A9,Friday,12-16,93,2002-02-15
StellarWave A9,Tuesday,20-24,280,2002-02-12
Luminor Arc 65,Monday,12-16,205,2002-02-11
Luminor Arc 65,Sunday,0-8,6,2002-02-10
Luminor Arc 65,Thursday,16-20,3,2002-02-07
Luminor Arc 65,Monday,20-24,2,2002-02-04
StellarWave A9,Thursday,20-24,306,2002-01-31
Luminor Arc 65,Thursday,16-20,3,2002-01-24
Luminor Arc 65,Tuesday,0-8,1,2002-01-22
StellarWave A9,Tuesday,0-8,0,2002-01-15
StellarWave A9,Saturday,12-16,73,2002-01-12
Luminor Arc 65,Monday,0-8,0,2002-01-07
StellarWave A9,Friday,8-12,0,2002-01-04
Luminor Arc 65,Thursday,8-12,276,2002-01-03
Luminor Arc 65,Monday,0-8,1,2001-12-31
Luminor Arc 65,Thursday,12-16,231,2001-12-27
Luminor Arc 65,Saturday,20-24,0,2001-12-22
Luminor Arc 65,Saturday,12-16,2,2001-12-15
Luminor Arc 65,Monday,12-16,244,2001-12-10
StellarWave A9,Tuesday,16-20,193,2001-12-04
Luminor Arc 65,Saturday,16-20,1,2001-12-01
Luminor Arc 65,Tuesday,0-8,2,2001-11-27
Luminor Arc 65,Saturday,12-16,0,2001-11-24
StellarWave A9,Wednesday,16-20,176,2001-11-21
Luminor Arc 65,Monday,0-8,0,2001-11-19
StellarWave A9,Saturday,0-8,265,2001-11-17
Luminor Arc 65,Thursday,20-24,2,2001-11-15
StellarWave A9,Tuesday,8-12,0,2001-11-13
Luminor Arc 65,Sunday,16-20,1,2001-11-11
Luminor Arc 65,Thursday,16-20,1,2001-11-08
StellarWave A9,Friday,16-20,247,2001-11-02
Luminor Arc 65,Wednesday,20-24,1,2001-10-31
StellarWave A9,Monday,16-20,220,2001-10-29
StellarWave A9,Tuesday,16-20,203,2001-10-23
StellarWave A9,Sunday,8-12,219,2001-10-21
StellarWave A9,Saturday,12-16,59,2001-10-20
StellarWave A9,Tuesday,20-24,237,2001-10-16
StellarWave A9,Thursday,8-12,1,2001-10-11
StellarWave A9,Sunday,16-20,3,2001-10-07
Luminor Arc 65,Tuesday,20-24,1,2001-10-02
Luminor Arc 65,Wednesday,8-12,275,2001-09-26
StellarWave A9,Wednesday,8-12,0,2001-09-19
Luminor Arc 65,Thursday,8-12,263,2001-09-13
StellarWave A9,Tuesday,16-20,206,2001-09-11
Luminor Arc 65,Saturday,16-20,0,2001-09-08
StellarWave A9,Thursday,12-16,93,2001-09-06
StellarWave A9,Friday,20-24,268,2001-08-31
Luminor Arc 65,Tuesday,12-16,224,2001-08-28
Luminor Arc 65,Thursday,8-12,274,2001-08-23
Luminor Arc 65,Monday,16-20,0,2001-08-20
StellarWave A9,Friday,12-16,109,2001-08-17
StellarWave A9,Sunday,8-12,200,2001-08-12
Luminor Arc 65,Thursday,20-24,0,2001-08-09
Luminor Arc 65,Wednesday,12-16,266,2001-08-08
StellarWave A9,Wednesday,8-12,2,2001-08-01
StellarWave A9,Saturday,0-8,279,2001-07-28
Luminor Arc 65,Wednesday,20-24,1,2001-07-25
Luminor Arc 65,Wednesday,8-12,256,2001-07-18
StellarWave A9,Thursday,12-16,62,2001-07-12
Luminor Arc 65,Wednesday,0-8,1,2001-07-11
Luminor Arc 65,Monday,0-8,1,2001-07-09
StellarWave A9,Sunday,8-12,218,2001-07-08
Luminor Arc 65,Saturday,0-8,8,2001-07-07
Luminor Arc 65,Tuesday,20-24,1,2001-07-03
StellarWave A9,Sunday,12-16,70,2001-07-01
Luminor Arc 65,Saturday,16-20,0,2001-06-30
Luminor Arc 65,Friday,12-16,249,2001-06-29
Luminor Arc 65,Saturday,20-24,0,2001-06-23
StellarWave A9,Monday,20-24,242,2001-06-18
StellarWave A9,Wednesday,8-12,2,2001-06-13
StellarWave A9,Thursday,12-16,109,2001-06-07
Luminor Arc 65,Tuesday,12-16,235,2001-06-05
StellarWave A9,Saturday,16-20,2,2001-06-02
Luminor Arc 65,Friday,0-8,1,2001-06-01
Luminor Arc 65,Thursday,0-8,0,2001-05-31
Luminor Arc 65,Sunday,8-12,0,2001-05-27
StellarWave A9,Sunday,12-16,49,2001-05-20
StellarWave A9,Sunday,8-12,244,2001-05-13
StellarWave A9,Sunday,12-16,58,2001-05-06
StellarWave A9,Monday,20-24,235,2001-04-30
StellarWave A9,Friday,12-16,99,2001-04-27
Luminor Arc 65,Wednesday,16-20,2,2001-04-25
Luminor Arc 65,Tuesday,0-8,3,2001-04-24
Luminor Arc 65,Saturday,16-20,1,2001-04-21
StellarWave A9,Sunday,8-12,216,2001-04-15
Luminor Arc 65,Friday,0-8,0,2001-04-13
StellarWave A9,Monday,16-20,181,2001-04-09
Luminor Arc 65,Sunday,12-16,0,2001-04-08
Luminor Arc 65,Saturday,16-20,2,2001-04-07
StellarWave A9,Saturday,8-12,210,2001-03-31
Luminor Arc 65,Thursday,0-8,1,2001-03-29
Luminor Arc 65,Friday,20-24,1,2001-03-23
StellarWave A9,Monday,12-16,53,2001-03-19
Luminor Arc 65,Wednesday,8-12,267,2001-03-14
Luminor Arc 65,Wednesday,12-16,230,2001-03-07
StellarWave A9,Monday,12-16,71,2001-03-05
Luminor Arc 65,Monday,0-8,1,2001-02-26
StellarWave A9,Monday,12-16,54,2001-02-19
StellarWave A9,Friday,8-12,3,2001-02-16
StellarWave A9,Thursday,8-12,2,2001-02-15
StellarWave A9,Friday,16-20,245,2001-02-09
Luminor Arc 65,Wednesday,8-12,260,2001-02-07
Luminor Arc 65,Sunday,8-12,0,2001-02-04
Luminor Arc 65,Tuesday,20-24,1,2001-01-30
Luminor Arc 65,Tuesday,16-20,1,2001-01-23
Luminor Arc 65,Sunday,12-16,0,2001-01-21
Luminor Arc 65,Thursday,8-12,272,2001-01-18
Luminor Arc 65,Tuesday,12-16,242,2001-01-16
Luminor Arc 65,Thursday,0-8,0,2001-01-11
StellarWave A9,Saturday,20-24,2,2001-01-06
StellarWave A9,Saturday,12-16,100,2000-12-30
Luminor Arc 65,Wednesday,12-16,239,2000-12-27
StellarWave A9,Thursday,16-20,239,2000-12-21
StellarWave A9,Tuesday,16-20,197,2000-12-19
Luminor Arc 65,Saturday,0-8,2,2000-12-16
StellarWave A9,Saturday,0-8,246,2000-12-09
Luminor Arc 65,Thursday,20-24,1,2000-12-07
StellarWave A9,Sunday,16-20,0,2000-12-03
Luminor Arc 65,Tuesday,12-16,242,2000-11-28
StellarWave A9,Monday,12-16,72,2000-11-27
StellarWave A9,Friday,12-16,111,2000-11-24
Luminor Arc 65,Friday,12-16,274,2000-11-17
Luminor Arc 65,Wednesday,12-16,251,2000-11-15
Luminor Arc 65,Sunday,20-24,1,2000-11-12
Luminor Arc 65,Friday,0-8,0,2000-11-10
StellarWave A9,Sunday,8-12,198,2000-11-05
StellarWave A9,Thursday,8-12,2,2000-11-02
StellarWave A9,Wednesday,12-16,76,2000-11-01
StellarWave A9,Friday,0-8,1,2000-10-27
Luminor Arc 65,Friday,8-12,308,2000-10-20
Luminor Arc 65,Saturday,12-16,2,2000-10-14
Luminor Arc 65,Tuesday,16-20,0,2000-10-10
Luminor Arc 65,Wednesday,12-16,237,2000-10-04
StellarWave A9,Monday,16-20,191,2000-10-02
StellarWave A9,Saturday,20-24,2,2000-09-30
StellarWave A9,Monday,0-8,1,2000-09-25
StellarWave A9,Thursday,8-12,3,2000-09-21
Luminor Arc 65,Wednesday,8-12,248,2000-09-20
StellarWave A9,Thursday,0-8,0,2000-09-14
Luminor Arc 65,Saturday,20-24,1,2000-09-09
Luminor Arc 65,Thursday,16-20,0,2000-09-07
StellarWave A9,Thursday,8-12,1,2000-08-31
StellarWave A9,Friday,20-24,271,2000-08-25
StellarWave A9,Friday,8-12,8,2000-08-18
StellarWave A9,Saturday,8-12,263,2000-08-12
StellarWave A9,Thursday,12-16,77,2000-08-10
StellarWave A9,Monday,0-8,1,2000-08-07
Luminor Arc 65,Sunday,16-20,2,2000-08-06
StellarWave A9,Monday,0-8,0,2000-07-31
Luminor Arc 65,Tuesday,8-12,266,2000-07-25
StellarWave A9,Wednesday,16-20,223,2000-07-19
Luminor Arc 65,Saturday,8-12,1,2000-07-15
Luminor Arc 65,Saturday,16-20,1,2000-07-08
StellarWave A9,Wednesday,12-16,70,2000-07-05
StellarWave A9,Wednesday,12-16,89,2000-06-28
Luminor Arc 65,Wednesday,0-8,0,2000-06-21
StellarWave A9,Tuesday,0-8,1,2000-06-20
StellarWave A9,Wednesday,12-16,77,2000-06-14
Luminor Arc 65,Sunday,16-20,1,2000-06-11
StellarWave A9,Wednesday,0-8,2,2000-06-07
Luminor Arc 65,Sunday,0-8,9,2000-06-04
Luminor Arc 65,Monday,20-24,1,2000-05-29
StellarWave A9,Monday,16-20,179,2000-05-22
StellarWave A9,Saturday,8-12,192,2000-05-20
Luminor Arc 65,Tuesday,8-12,263,2000-05-16
Luminor Arc 65,Tuesday,0-8,0,2000-05-09
StellarWave A9,Monday,8-12,1,2000-05-08
Luminor Arc 65,Monday,0-8,1,2000-05-01
Luminor Arc 65,Saturday,12-16,7,2000-04-29
Luminor Arc 65,Monday,8-12,256,2000-04-24
StellarWave A9,Sunday,20-24,0,2000-04-23
Luminor Arc 65,Saturday,0-8,8,2000-04-22
StellarWave A9,Tuesday,8-12,2,2000-04-18
Luminor Arc 65,Friday,20-24,1,2000-04-14
StellarWave A9,Friday,20-24,302,2000-04-07
Luminor Arc 65,Monday,12-16,205,2000-04-03
StellarWave A9,Monday,20-24,214,2000-03-27
Luminor Arc 65,Wednesday,8-12,300,2000-03-22
Luminor Arc 65,Monday,0-8,0,2000-03-20
Luminor Arc 65,Tuesday,20-24,0,2000-03-14
Luminor Arc 65,Tuesday,12-16,252,2000-03-07
StellarWave A9,Sunday,0-8,265,2000-03-05
StellarWave A9,Sunday,16-20,1,2000-02-27
StellarWave A9,Tuesday,0-8,0,2000-02-22
StellarWave A9,Tuesday,12-16,54,2000-02-15
Luminor Arc 65,Saturday,8-12,1,2000-02-12
StellarWave A9,Monday,0-8,0,2000-02-07
Luminor Arc 65,Sunday,16-20,0,2000-02-06
StellarWave A9,Wednesday,8-12,1,2000-02-02
StellarWave A9,Wednesday,12-16,75,2000-01-26
Luminor Arc 65,Saturday,0-8,5,2000-01-22
StellarWave A9,Wednesday,20-24,267,2000-01-19
Luminor Arc 65,Sunday,0-8,2,2000-01-16
StellarWave A9,Tuesday,20-24,261,2000-01-11
Luminor Arc 65,Friday,0-8,1,2000-01-07
StellarWave A9,Tuesday,16-20,188,2000-01-04
Luminor Arc 65,Monday,8-12,276,2000-01-03
StellarWave A9,Wednesday,8-12,1,1999-12-29
StellarWave A9,Saturday,8-12,214,1999-12-25
StellarWave A9,Thursday,8-12,1,1999-12-23
StellarWave A9,Sunday,0-8,243,1999-12-19
Luminor Arc 65,Saturday,16-20,1,1999-12-18
StellarWave A9,Sunday,0-8,280,1999-12-12
StellarWave A9,Friday,12-16,120,1999-12-10
StellarWave A9,Thursday,20-24,280,1999-12-09
StellarWave A9,Sunday,12-16,63,1999-12-05
Luminor Arc 65,Saturday,0-8,9,1999-12-04
Luminor Arc 65,Thursday,12-16,260,1999-12-02
StellarWave A9,Sunday,8-12,190,1999-11-28
Luminor Arc 65,Sunday,12-16,0,1999-11-21
StellarWave A9,Friday,20-24,295,1999-11-19
Luminor Arc 65,Friday,16-20,1,1999-11-12
Luminor Arc 65,Monday,12-16,216,1999-11-08
Luminor Arc 65,Friday,0-8,0,1999-11-05
Luminor Arc 65,Sunday,20-24,1,1999-10-31
Luminor Arc 65,Sunday,20-24,0,1999-10-24
StellarWave A9,Saturday,8-12,237,1999-10-23
Luminor Arc 65,Tuesday,16-20,1,1999-10-19
StellarWave A9,Thursday,20-24,275,1999-10-14
StellarWave A9,Saturday,8-12,212,1999-10-09
StellarWave A9,Thursday,16-20,243,1999-10-07
StellarWave A9,Thursday,16-20,241,1999-09-30
Luminor Arc 65,Sunday,8-12,2,1999-09-26
Luminor Arc 65,Friday,8-12,299,1999-09-24
StellarWave A9,Sunday,16-20,0,1999-09-19
Luminor Arc 65,Friday,20-24,1,1999-09-17
StellarWave A9,Saturday,20-24,1,1999-09-11
StellarWave A9,Sunday,12-16,86,1999-09-05
Luminor Arc 65,Friday,20-24,0,1999-09-03
Luminor Arc 65,Wednesday,20-24,0,1999-09-01
StellarWave A9,Monday,20-24,214,1999-08-30
StellarWave A9,Friday,0-8,0,1999-08-27
StellarWave A9,Friday,8-12,1,1999-08-20
StellarWave A9,Friday,0-8,0,1999-08-13
Luminor Arc 65,Wednesday,16-20,2,1999-08-11
Luminor Arc 65,Sunday,20-24,1,1999-08-08
Luminor Arc 65,Saturday,16-20,1,1999-08-07
StellarWave A9,Sunday,0-8,278,1999-08-01
Luminor Arc 65,Saturday,16-20,1,1999-07-31
Luminor Arc 65,Monday,20-24,1,1999-07-26
Luminor Arc 65,Wednesday,8-12,271,1999-07-21
StellarWave A9,Friday,20-24,279,1999-07-16
Luminor Arc 65,Monday,0-8,1,1999-07-12
StellarWave A9,Tuesday,0-8,2,1999-07-06
Luminor Arc 65,Saturday,12-16,14,1999-07-03
Luminor Arc 65,Saturday,8-12,0,1999-06-26
Luminor Arc 65,Sunday,8-12,0,1999-06-20
StellarWave A9,Sunday,8-12,209,1999-06-13
StellarWave A9,Tuesday,12-16,56,1999-06-08
Luminor Arc 65,Sunday,0-8,1,1999-06-06
Luminor Arc 65,Sunday,16-20,1,1999-05-30
Luminor Arc 65,Wednesday,20-24,0,1999-05-26
Luminor Arc 65,Thursday,8-12,273,1999-05-20
StellarWave A9,Thursday,8-12,2,1999-05-13
StellarWave A9,Wednesday,0-8,0,1999-05-12
Luminor Arc 65,Sunday,12-16,1,1999-05-09
StellarWave A9,Monday,8-12,1,1999-05-03
StellarWave A9,Tuesday,16-20,211,1999-04-27
Luminor Arc 65,Tuesday,20-24,0,1999-04-20
Luminor Arc 65,Saturday,0-8,16,1999-04-17
StellarWave A9,Saturday,12-16,77,1999-04-10
Luminor Arc 65,Wednesday,12-16,255,1999-04-07
StellarWave A9,Monday,8-12,2,1999-04-05
StellarWave A9,Wednesday,16-20,227,1999-03-31
Luminor Arc 65,Friday,12-16,233,1999-03-26
StellarWave A9,Sunday,20-24,3,1999-03-21
Luminor Arc 65,Wednesday,8-12,218,1999-03-17
StellarWave A9,Saturday,8-12,234,1999-03-13
Luminor Arc 65,Monday,16-20,2,1999-03-08
Luminor Arc 65,Sunday,12-16,0,1999-03-07
Luminor Arc 65,Thursday,12-16,265,1999-03-04
Luminor Arc 65,Wednesday,0-8,0,1999-03-03
StellarWave A9,Monday,0-8,1,1999-03-01
Luminor Arc 65,Friday,16-20,1,1999-02-26
Luminor Arc 65,Thursday,12-16,239,1999-02-25
StellarWave A9,Wednesday,0-8,1,1999-02-24
Luminor Arc 65,Monday,12-16,223,1999-02-22
Luminor Arc 65,Thursday,8-12,292,1999-02-18
Luminor Arc 65,Monday,8-12,262,1999-02-15
StellarWave A9,Saturday,20-24,3,1999-02-13
Luminor Arc 65,Tuesday,16-20,0,1999-02-09
Luminor Arc 65,Monday,0-8,0,1999-02-08
Luminor Arc 65,Thursday,0-8,0,1999-02-04
StellarWave A9,Tuesday,8-12,1,1999-02-02
StellarWave A9,Sunday,0-8,258,1999-01-31
StellarWave A9,Friday,8-12,5,1999-01-29
Luminor Arc 65,Sunday,12-16,0,1999-01-24
Luminor Arc 65,Friday,20-24,0,1999-01-22
StellarWave A9,Sunday,8-12,236,1999-01-17
StellarWave A9,Monday,0-8,0,1999-01-11
StellarWave A9,Saturday,20-24,1,1999-01-09
StellarWave A9,Friday,12-16,93,1999-01-08
Luminor Arc 65,Friday,8-12,286,1999-01-01
StellarWave A9,Thursday,16-20,213,1998-12-31
StellarWave A9,Thursday,16-20,228,1998-12-24
Luminor Arc 65,Tuesday,20-24,1,1998-12-22
Luminor Arc 65,Monday,16-20,1,1998-12-21
Luminor Arc 65,Thursday,0-8,1,1998-12-17
Luminor Arc 65,Monday,16-20,0,1998-12-14
StellarWave A9,Tuesday,20-24,240,1998-12-08
Luminor Arc 65,Tuesday,8-12,240,1998-12-01
Luminor Arc 65,Thursday,16-20,1,1998-11-26
StellarWave A9,Saturday,20-24,1,1998-11-21
Luminor Arc 65,Thursday,20-24,2,1998-11-19
StellarWave A9,Friday,16-20,236,1998-11-13
StellarWave A9,Friday,0-8,4,1998-11-06
StellarWave A9,Saturday,16-20,1,1998-10-31
StellarWave A9,Friday,8-12,16,1998-10-30
StellarWave A9,Tuesday,0-8,0,1998-10-27
StellarWave A9,Friday,8-12,6,1998-10-23
Luminor Arc 65,Saturday,12-16,1,1998-10-17
StellarWave A9,Wednesday,16-20,216,1998-10-14
Luminor Arc 65,Saturday,8-12,0,1998-10-10
StellarWave A9,Monday,8-12,1,1998-10-05
Luminor Arc 65,Saturday,16-20,1,1998-10-03
StellarWave A9,Saturday,12-16,85,1998-09-26
StellarWave A9,Sunday,20-24,0,1998-09-20
StellarWave A9,Monday,12-16,56,1998-09-14
Luminor Arc 65,Tuesday,0-8,0,1998-09-08
StellarWave A9,Monday,12-16,64,1998-09-07
Luminor Arc 65,Sunday,20-24,0,1998-09-06
StellarWave A9,Saturday,20-24,1,1998-09-05
Luminor Arc 65,Thursday,0-8,1,1998-09-03
StellarWave A9,Tuesday,12-16,74,1998-09-01
StellarWave A9,Saturday,16-20,3,1998-08-29
Luminor Arc 65,Saturday,8-12,0,1998-08-22
Luminor Arc 65,Monday,12-16,220,1998-08-17
Luminor Arc 65,Friday,16-20,0,1998-08-14
Luminor Arc 65,Friday,16-20,1,1998-08-07
StellarWave A9,Thursday,16-20,214,1998-08-06
StellarWave A9,Wednesday,16-20,228,1998-08-05
Luminor Arc 65,Sunday,20-24,0,1998-08-02
StellarWave A9,Sunday,20-24,2,1998-07-26
StellarWave A9,Sunday,8-12,237,1998-07-19
Luminor Arc 65,Saturday,20-24,0,1998-07-18
Luminor Arc 65,Tuesday,0-8,2,1998-07-14
StellarWave A9,Wednesday,8-12,1,1998-07-08
Luminor Arc 65,Tuesday,12-16,244,1998-07-07
Luminor Arc 65,Tuesday,12-16,233,1998-06-30
Luminor Arc 65,Tuesday,8-12,271,1998-06-23
Luminor Arc 65,Tuesday,16-20,1,1998-06-16
Luminor Arc 65,Wednesday,20-24,1,1998-06-10
Luminor Arc 65,Saturday,0-8,0,1998-06-06
StellarWave A9,Thursday,8-12,3,1998-06-04
Luminor Arc 65,Monday,8-12,262,1998-06-01
StellarWave A9,Monday,12-16,59,1998-05-25
Luminor Arc 65,Friday,16-20,1,1998-05-22
Luminor Arc 65,Monday,12-16,253,1998-05-18
StellarWave A9,Saturday,16-20,3,1998-05-16
StellarWave A9,Tuesday,0-8,0,1998-05-12
StellarWave A9,Sunday,16-20,1,1998-05-10
StellarWave A9,Thursday,16-20,222,1998-05-07
Luminor Arc 65,Saturday,20-24,0,1998-05-02
StellarWave A9,Saturday,12-16,80,1998-04-25
StellarWave A9,Thursday,16-20,205,1998-04-23
StellarWave A9,Thursday,20-24,226,1998-04-16
Luminor Arc 65,Monday,16-20,1,1998-04-13
StellarWave A9,Saturday,0-8,275,1998-04-11
StellarWave A9,Monday,16-20,209,1998-04-06
Luminor Arc 65,Saturday,8-12,2,1998-04-04
StellarWave A9,Wednesday,0-8,2,1998-04-01
StellarWave A9,Wednesday,8-12,3,1998-03-25
StellarWave A9,Saturday,8-12,232,1998-03-21
StellarWave A9,Tuesday,8-12,1,1998-03-17
Luminor Arc 65,Saturday,8-12,2,1998-03-14
StellarWave A9,Tuesday,16-20,207,1998-03-10
StellarWave A9,Tuesday,0-8,2,1998-03-03
Luminor Arc 65,Monday,0-8,1,1998-03-02
Luminor Arc 65,Friday,16-20,1,1998-02-27
StellarWave A9,Thursday,0-8,0,1998-02-26
StellarWave A9,Tuesday,20-24,234,1998-02-24
Luminor Arc 65,Thursday,0-8,1,1998-02-19
Luminor Arc 65,Friday,12-16,250,1998-02-13
StellarWave A9,Thursday,12-16,73,1998-02-12
Luminor Arc 65,Saturday,12-16,3,1998-02-07
StellarWave A9,Sunday,16-20,2,1998-02-01
Luminor Arc 65,Wednesday,12-16,247,1998-01-28
Luminor Arc 65,Monday,12-16,220,1998-01-26
Luminor Arc 65,Tuesday,8-12,244,1998-01-20
StellarWave A9,Saturday,12-16,73,1998-01-17
StellarWave A9,Monday,8-12,1,1998-01-12
Luminor Arc 65,Wednesday,0-8,1,1998-01-07
StellarWave A9,Tuesday,0-8,0,1998-01-06
